"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Armenia","ARM","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.60000002384186","1.79999995231628","5.30000019073486","6.59999990463257","6.69999980926514","9.30000019073486","10.8000001907349","9.39999961853027","11.1999998092651","11.0550003051758","10.9329996109009","10.8100004196167","10.625","10.3470001220703","10.2180004119873","10.0010004043579","9.8100004196167","9.99699974060059","9.89400005340576","10.5419998168945","10.9169998168945","11.2980003356934","11.5310001373291","11.8620004653931","12.1770000457764","12.4259996414185","12.9440002441406","13.210000038147","12.1999998092651","12.1800003051758","12.7290000915527",
"American Samoa","ASM","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.57999992370605","10.7299995422363","10.8699998855591","9.72000026702881","8.47000026702881","8.51000022888184","8.35999965667725","7.67999982833862","6.86999988555908","6.28000020980835","6.73999977111816","6.36999988555908","5.92999982833862","5.3899998664856","5.03000020980835","4.78000020980835","4.38000011444092","4.23000001907349","5.55999994277954","5.21000003814697","5.07999992370605","5.21999979019165","5.65999984741211","6.07999992370605","6.05000019073486","5.71000003814697","5.59000015258789","5.30000019073486","5.15999984741211","6.46000003814697","5.11999988555908",
"Austria","AUT","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.42000007629395","3.58999991416931","4.25","3.53999996185303","4.34000015258789","5.28000020980835","5.15000009536743","5.48000001907349","4.69999980926514","4.69000005722046","4.01000022888184","4.84999990463257","4.78000020980835","5.82999992370605","5.63000011444092","5.23999977111816","4.8600001335144","4.13000011444092","5.30000019073486","4.82000017166138","4.55999994277954","4.86999988555908","5.34000015258789","5.61999988555908","5.71999979019165","6.01000022888184","5.5","4.84999990463257","4.48999977111816","5.3600001335144","6.17999982833862",
"Azerbaijan","AZE","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.899999976158142","1.79999995231628","4.5","6.30000019073486","7.19999980926514","8.10000038146973","9.10000038146973","10","10.8999996185303","11.7799997329712","10.9099998474121","10.039999961853","9.17000007629395","7.98999977111816","7.26000022888184","6.61999988555908","6.32999992370605","5.8600001335144","5.73999977111816","5.63000011444092","5.42000007629395","5.19000005722046","4.96999979019165","4.90999984741211","4.96000003814697","5","4.96000003814697","4.94000005722046","4.84999990463257","7.15999984741211","5.94999980926514",
"Burundi","BDI","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.6159999370575","2.68899989128113","2.81200003623962","2.81900000572205","2.89199995994568","2.93300008773804","2.8970000743866","2.85899996757507","2.96199989318848","2.99799990653992","3.00300002098084","3.01399993896484","3.12599992752075","3.09400010108948","3.18899989128113","3.1800000667572","2.42300009727478","1.62999999523163","1.625","1.60599994659424","1.60199999809265","1.58899998664856","1.57599997520447","1.57000005245209","1.47699999809265","1.31500005722046","1.16600000858307","1.01699995994568","0.870999991893768","1.02999997138977","1.13199996948242",
"Belgium","BEL","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.98000001907349","6.69999980926514","8.07999992370605","9.64999961853027","9.34000015258789","9.47999954223633","8.94999980926514","9.31999969482422","8.64999961853027","6.59000015258789","6.17999982833862","6.90999984741211","7.67999982833862","7.3600001335144","8.4399995803833","8.25","7.46000003814697","6.98000001907349","7.90999984741211","8.28999996185303","7.1399998664856","7.53999996185303","8.43000030517578","8.52000045776367","8.47999954223633","7.82999992370605","7.09000015258789","5.94999980926514","5.3600001335144","5.55000019073486","6.26000022888184",
"Benin","BEN","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.48399996757507","1.50999999046326","1.39600002765656","1.35800004005432","1.23699998855591","1.17499995231628","1.08299994468689","1.01800000667572","0.926999986171722","0.842999994754791","0.765999972820282","0.689999997615814","0.737999975681305","0.773000001907349","0.832000017166138","0.859000027179718","0.885999977588654","0.935000002384186","0.995999991893768","1.03999996185303","2.65000009536743","2.4539999961853","2.25399994850159","2.11100006103516","2.02300000190735","1.83599996566772","1.64300000667572","1.47000002861023","1.46599996089935","1.6710000038147","1.75199997425079",
"Burkina Faso","BFA","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.55299997329712","2.62700009346008","2.57599997520447","2.57999992370605","2.51399993896484","2.44099998474121","2.46799993515015","2.44000005722046","2.50799989700317","2.63499999046326","2.65400004386902","2.74900007247925","2.77999997138977","3.44199991226196","4","3.65799999237061","3.29999995231628","3.40599989891052","3.57399988174438","3.62599992752075","3.77999997138977","3.91199994087219","4.05200004577637","4.20599985122681","4.3439998626709","4.44000005722046","4.56599998474121","4.69000005722046","4.69299983978271","5.05499982833862","5.23199987411499",
"Bangladesh","BGD","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.20000004768372","2.29500007629395","2.33899998664856","2.38100004196167","2.46399998664856","2.50999999046326","2.69400000572205","2.89499998092651","3.06800007820129","3.26999998092651","3.61800003051758","3.93400001525879","4.32000017166138","4.27199983596802","4.25","3.58999991416931","4.09200000762939","4.5479998588562","5","3.38000011444092","3.75","4.09899997711182","4.42999982833862","4.39300012588501","4.37099981307983","4.34999990463257","4.36999988555908","4.38000011444092","4.38199996948242","5.20900011062622","5.09700012207031",
"Bulgaria","BGR","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.1000003814697","15.3000001907349","16.3999996185303","12.8000001907349","11.1000003814697","12.5","13.6999998092651","12.1999998092651","14.1000003814697","16.2199993133545","19.9200000762939","18.1100006103516","13.7299995422363","12.039999961853","10.0799999237061","8.94999980926514","6.88000011444092","5.6100001335144","6.82000017166138","10.2799997329712","11.2600002288818","12.2700004577637","12.9399995803833","11.4200000762939","9.14000034332275","7.57000017166138","6.15999984741211","5.21000003814697","4.23000001907349","5.11999988555908","5.26999998092651",
"Bahrain","BHR","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.06099998950958","1.10199999809265","1.04999995231628","1.16700005531311","1.12800002098083","1.12699997425079","1.1360000371933","1.12100005149841","1.12600004673004","1.11699998378754","1.14400005340576","1.1360000371933","1.11000001430511","1.10300004482269","1.10399997234344","1.10699999332428","1.09099996089935","1.11000001430511","1.14400005340576","1.12999999523163","1.18499994277954","1.20000004768372","1.17799997329712","1.18400001525879","1.19700002670288","1.18099999427795","1.1690000295639","1.18499994277954","1.18099999427795","1.67400002479553","1.53199994564056",
"Bahamas, The","BHS","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.1700000762939","14.8100004196167","12.7200002670288","13.8299999237061","10.8299999237061","11.460000038147","9.76000022888184","7.65000009536743","7.44999980926514","7.19600009918213","6.86999988555908","9.05000019073486","10.8400001525879","10.1999998092651","10.1999998092651","7.53999996185303","7.88000011444092","8.18000030517578","14.25","14.3210000991821","14.5200004577637","14.0200004577637","16.1800003051758","13.8000001907349","12","12.6999998092651","9.80000019073486","10","10.0509996414185","12.8669996261597","11.664999961853",
